NCT Number,Study Title
NCT03080714,Triton Agreement and Precision Study
NCT01978600,Evaluation of Intraocular Pressure Using Simbrinza™ in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT03107000,Corneal Endothelial Cell Loss After Trabeculectomy Versus Phakotrabeculectomy
NCT00675207,Comparison of Brimonidine Purite Dorzolamide and Brinzolamide as Adjunctive Therapy to Prostaglandin Analogs
NCT04339907,Inflammatory Mediators of Glaucoma After Corneal Transplantation (AH-Tears)
NCT01795014,Correlation of Orbital Cerebrospinal Fluid Pressure and Retinal Venous Outflow in Primary Open-angle Glaucoma
NCT04036214,Efficacy and Safety Outcomes of Optometrist Performed Selective Laser Trabeculoplasty (SLT)
NCT00449956,MK0507A Clinical Study in Patients With Glaucoma and Ocular Hypertension (0507A-149)(COMPLETED)
NCT00275756,Effects of Common Topical Glaucoma Therapy on Optic Nerve Head Blood Flow Autoregulation During Increased Arterial Blood Pressure and Artificially Elevated Intraocular Pressure in Healthy Humans
NCT04687800,Clinical Investigation of the Dextenza 0.4mg Intracanalicular Insert Delivery System Used in Cataract Surgery
NCT03733600,Evaluation of the Xen Implant in Glaucoma Surgery
NCT00781300,Intraocular Pressure With Loteprednol and Dexamethasone
NCT03090243,The Effects of Virtual Colonoscopy on Intraocular Pressure
NCT05389267,Safety Assessment of T4090 Eye Drops in Ocular Hypertensive or Glaucomatous Patients.
NCT05717543,Imaging of Corneal and Crystalline by Near Infrared Retro-illumination
NCT03108443,Novel Markers for Detecting Early Progression of Glaucoma
NCT04061343,The Effects of Changing Light Levels on Contrast Sensitivity in Patients With Glaucoma
NCT03927443,A Comparative Study of SPARC's SDP-133 Once Daily and Lumigan in Subjects With Open Angle Glaucoma or Ocular Hypertension
NCT06053307,Treating Psychosocial Distress in Glaucoma
NCT00823043,A Comfort Survey of Open-angle Glaucoma or Ocular Hypertension Patients Treated With 2 Drugs
NCT04521907,Correlative Study on Incidence and Risk Factors of Glaucoma-related Adverse Event at Various Durations After Congenital Cataract Surgery
NCT01639807,Clinical Evaluation of Efficacy of SLT to Topical Medication in Lowering IOP
NCT01364207,The Effects of Caffeinated Coffee on Intraocular Pressure
NCT04943107,Effect of Antihypertensive Drugs on Glaucoma Patients
NCT00300079,Study of the Intraocular Pressure (IOP)-Lowering Efficacy of Azopt 1.0% Compared to Timolol 0.5% in Patients With Glaucoma or Ocular Hypertension
NCT04046809,Study of Neurotidine® Intake on Life Quality of Patients With Glaucoma
NCT02522039,Pupillary Response After Glaucoma Medication
NCT00902109,Study to Compare Standard Perimetry With the New Scotoma-Oriented Perimetry (SCOPE) Using a New Fast German Adaptive Threshold Estimation (GATE) in Glaucoma Patients
NCT01983579,TF (SENSIMED Triggerfish) in Intraocular Anti-VEGF (Vascular Endothelial Growth Factor) Injection
NCT02375009,Glaucoma Management in the African-Derived Developing World Using Trabeculoplasty
NCT00327509,mRNA Expression in Lymphocytes of Glaucoma Patients
NCT04585100,FM101 Safety Tolerability Efficacy Study in the Patients With Ocular Hypertension
NCT04647214,18 Month Prospective Efficacy and Safety Study of Bimatoprost Intracameral Implant (DURYSTA)
NCT05159414,Study of Application of Pulse Electrical Stimulation Around Eye in Glaucoma Patients
NCT01168414,A Study of Ganfort Versus Duotrav in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT01298700,Long-Term Safety of Bimatoprost Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension
NCT03686072,Cataract Surgery Combined With Endoscopic Goniosynechialysis for Advanced Primary Angle Closure Glaucoma
NCT00570362,Systemic Glutathione Level in Normal Tension Glaucoma
NCT01252862,Prospective Evaluation of Open-Angle Glaucoma Subjects on One Topical Hypotensive Medication Treated With Two iStents
NCT04273438,Determining the Clinical Utility of Using Virtual Reality Headsets to Assess Visual Function in Those With Glaucoma.
NCT01845038,Multi-Arm Feasibility Study Evaluating OTX-TP Compared to Timolol in Treatment of Subjects With Open Angle Glaucoma
NCT04586738,Efficacy and Safety of Non-resorbable Uveoscleral Implant Versus Absorbable Collagen Matrix in Non-perforating Deep Sclerectomy
NCT03852810,Satisfaction With XEN Gel Stent Versus Trabeculectomy for the Treatment of Glaucoma
NCT02105272,Efficacy and Safety Study of OPC-1085EL Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension
NCT00751062,A Study of Open Angle Glaucoma or Ocular Hypertension in Patients Within Scandinavia
NCT00348062,A Multicenter Evaluation of Methods to Reduce Hyperemia Associated With Bimatoprost Therapy for Glaucoma or Ocular Hypertension
NCT00862472,Safety and Efficacy Study of DuoTrav APS Versus DuoTrav
NCT00320762,Ologen (OculusGen)-Glaucoma and Pterygium Historical Control Study in China Beijing Hospital
NCT05247762,Effect of Acupuncture on Visual Acuity and Visual Field in Patients With Primary Open-angle Glaucoma
NCT04024072,To Compare the Safety and Efficacy of Perrigo's Product to an FDA Approved Product for the Treatment of Glaucoma or Ocular Hypertension in Both Eyes
NCT06016972,Qlaris Phase 2 Study of QLS-111 in POAG and/or OHT Patients
NCT00371072,Trabeculectomy With MMC Versus Ahmed Glaucoma Implant for Treatment of Pediatric Aphakic Glaucoma
NCT01408472,NT-501 CNTF Implant for Glaucoma: Safety Neuroprotection and Neuroenhancement
NCT04898387,Efficacy and Safety Assessment of T4030 Eye Drops Versus Ganfort® UD in Ocular Hypertensive or Glaucomatous Patients.
NCT03654885,XEN-45 Gel Stent Versus Trabeculectomy in Glaucoma: Gold-Standard Pathway Study (GPS)
NCT03278587,Village-Integrated Eye Worker Trial II - Pilot
NCT02876185,Evaluation of the Possibility to Delegate Glaucoma Surveillance to Orthoptists in Hospital
NCT03192085,Comparison of SITA-Standard Compared to SITA-Fast Visual Fields.
NCT01528787,Study of AR-13324 in Patients With Elevated Intraocular Pressure
NCT04943185,A Prospective Single Surgeon Randomized Control Study Comparing ab Interno XEN Gel Microstent Implantation vs Closed Conjunctiva ab Externo Implantation Performed at the Slit Lamp for the Treatment of Uncontrolled Glaucoma
NCT00981786,24-Hour Intraocular Pressure With Brinzolamide/Timolol Versus Brimonidine/Timolol
NCT00304785,Latanoprost Versus Fotil
NCT00693485,Safety and Effects of Brimonidine Intravitreal Implant in Patients With Glaucomatous Optic Neuropathy
NCT01384487,Nidek RS3000 Comparative Study
NCT00607685,5FU vs 5FU With Viscoelastic Formulation for the Prevention of Scarring Post-trabeculectomy
NCT01906151,IOP Pattern in Primary Angle Closure and Primary Angle Closure Glaucoma Patients Before and After LPI
NCT06016712,The Effect of Labor on Intraocular Pressure Fluctuation in Healthy Eyes
NCT04703712,Lens Extraction Combined With Goniosynechialysis Versus Trabeculectomy
NCT04434612,Effect of OXSIGHT Smart Glasses on Patients With Advanced Glaucoma
NCT02020512,A Study of 0.03% Bimatoprost in the Treatment of Primary Open Angle Glaucoma and Ocular Hypertension
NCT00321386,Analysis of Clinical Profiles of Chinese Patients With Normal Tension Glaucoma
NCT01895686,Comparison of Gonioscopy With Cirrus and Visante
NCT02327312,Multicenter Investigation of Trabecular Micro-Bypass Stents vs. Laser Trabeculoplasty
NCT00491712,Comparison of Efficacy Between Silicone Ahmed Glaucoma Valves With and Without Intravitreal Triamcinolone Injection
NCT00651612,Study to Evaluate Safety of Brimonidine/Timolol Fixed Combination in Glaucoma or Ocular Hypertension Patients
NCT00799682,Exploratory Study Comparing Signs and Symptoms in Patients With Ocular Hypertension or Glaucoma Using Xalatan R® or Travatan Z®
NCT04232982,The Role of Transscleral Cyclophotocoagulation in Patients Undergoing a Boston Keratoprosthesis
NCT01305616,Effect of Yellow-Tinted Intraocular Lens on Standard Automated Perimetry (SAP) and Short-wavelength Automated Perimetry (SWAP) in Patients With and Without Glaucoma
NCT00347893,The Efficacy of Selective Laser Trabeculoplasty
NCT00402493,Study to Determine if Taking OTC Non-Steroidal Anti-Inflammatory Affects Eye Pressure in Patients Using Glaucoma Drops
NCT02708082,Glaucoma HFA / OCT Specificity Study
NCT03098316,Metabolomics in Surgical Ophthalmological Patients
NCT05299593,24-hour Efficacy and Tolerability of the Tafluprost-timolol Fixed Association Without Preservatives in Glaucomatous or Ocular Hypertensive Patients Already Treated With Latanoprost Preserved With BAK. A Prospective Open Study of 3 Months Duration.
NCT01174420,Comparative Study of Ologen Collagen Matrix Versus Mitomycin-C in Trabeculectomy: A Study in Germany
NCT00626782,Lucentis Versus Mitomycin C During Glaucoma Surgery
NCT05163093,Research on the Diagnosis and Treatment of Angle Closure Glaucoma With Abnormal Lens Zonular
NCT01000220,Evaluation of Omeprazole Effect on Glaucoma
NCT03642782,Evaluation of the Electroretinogram Pattern (Diopsys® NOVA System) for the Early Diagnosis of Glaucoma
NCT06076720,Evaluation of New Head-mounted Visual Aids Among Patients With Low Vision
NCT00767793,A Placebo-Controlled Study of INS117548 Ophthalmic Solution in Subjects With Glaucoma (P08650)
NCT02679482,Following Patients After Selective and Pascal Laser Trabeculoplasty for Treatment of Chronic Open-Angle Glaucoma
NCT01843920,The Effect of Glaucoma Drops on of the Duration of a Pure Intraocular Gas Bubble
NCT01228149,COSOPT-S® Treatment Versus Acetazolamide Before Trabeculectomy
NCT01314326,Advanced Imaging for Glaucoma Study
NCT01318252,AL-54478 Proof of Concept Study
NCT04461249,Comparison Between Latanoprost  Travoprost and Tafluprost in Reducing IOP Fluctuation in POAG Patients
NCT03267849,Lamina Cribrosa Depth Change With Change in Eye Pressure
NCT02955849,A Trial of China Laser and Surgery Study Glaucoma in Rural China
NCT00961649,Safety and Efficacy of Brinzolamide/Brimonidine Fixed Combination
NCT05075226,Visual Outcomes of Vivity in Patients With Well Controlled Glaucoma
NCT03972852,Establishment of an Anaesthetic Protocol for Examinations for Children With Glaucoma or Suspected Glaucoma
NCT03590249,Effects of a Single Osteopathic Manipulative Treatment (OMT) on Intraocular Pressure (IOP) Reduction
NCT00306852,Tube Versus Trabeculectomy (TVT) Study
NCT01302249,AR-12286 in Combination With Latanoprost
NCT02784249,A Comparison of Two Ab Interno Procedures in the Treatment of Glaucoma in Patients Undergoing Cataract Extraction
NCT04020705,The Efficacy of Citicoline in Eyedrops (OMK1) in Reducing the Progression of Glaucoma
NCT00272363,Clinical and Molecular Studies in Families With Glaucoma and Related Diseases
NCT02863705,Efficacy and Safety of COMBIGAN® in Korean Patients With Primary Open Angle Glaucoma (POAG) and Normal Tension Glaucoma (NTG)
NCT03548805,Ologen® Collagen Matrix Versus Mitomycin-C in Patients With Juvenile-onset Open Angle Glaucoma
NCT02713152,Prevalence of Obstructive Sleep Apnoea in Glaucoma
NCT00327405,Results of Ocular Compression and Suture Release in Trabeculectomy and Combined Surgery
NCT00603005,Adherence Improvement in Glaucoma Patients
NCT00001152,Pigment Dispersion Syndrome With and Without Glaucoma
NCT00570726,Treatment of Failing Blebs With Ranibizumab
NCT03889652,Optical Coherence Tomography of Nerve Fiber Layer and Ganglion Cell Complex After Cataract Extraction
NCT02959593,The Effects of Visior on Ocular Hemodynamics
NCT06128720,Hyperbaric Oxygen Therapy for Optic Neuropathies
NCT03257020,The Diagnostic Performance of BMO-MRW and RNFL Thickness and Their Combinational Index Using Artificial Neural Network
NCT01021982,Evaluation of Objective Perimetry Using Pupillometer
NCT04118920,Safety of Topical Insulin Drops for Open-angle Glaucoma
NCT03534882,Effects of Prostaglandin Analogue Washout Following Long-term Therapy in Adults With Primary Open Angle Glaucoma
NCT05624593,P200TE and Predicate Agreement and Precision Study
NCT05279716,Study in Prostaglandin Associated Peri-orbitopathy Switching From Prostaglandin Monotherapy to Omidenepag Isopropyl
NCT01357616,Fixed Combination Brinzolamide 1%/Timolol 0.5% Versus Brinzolamide 1% + Timolol 0.5% in Open-Angle Glaucoma or Ocular Hypertension
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study
NCT01012245,Non-Interventional Study In Patients With Ocular Hypertension And Open Angle Glaucoma Treated With Xalatan And Xalacom
NCT05474716,The Effect of Topical Brimonidine on the Ocular Hemodynamics in Patients of POAG Using OCTA
NCT01709916,Comparing Diurnal Fluctuations in Intra Ocular Pressure Measured in Same Day Versus Different Days in Glaucoma Patients
NCT00753168,Phase 1-2 Evaluation of OT-730 Eye Drops in Reducing the Intraocular Pressure in Patients With Ocular Hypertension or Open-Angle Glaucoma
NCT05822245,A Study of PER-001 in Participants With Open-Angle Glaucoma
NCT05670015,Ocular Changes With Alpha-2 Receptor Agonist.
NCT01693315,Multiple Dose-escalation Study of AMA0076 in Patients With Ocular Hypertension or Primary Open-angle Glaucoma
NCT01362868,Water Drinking Test During Intraocular Pressure Fluctuation (IOP) Monitoring
NCT00762645,Travoprost 0.004% Versus Pilocarpine 1% in Patients With Chronic Angle Closure Glaucoma (CACG)
NCT00721968,Safety and Efficacy of the GTS400 Stent in Conjunction With Cataract
NCT00804115,The International Collaborative Exfoliation Syndrome Treatment Study
NCT01551550,Shunt Tube Exposure Prevention Study
NCT03844945,Efficacy and Systemic Safety of Netarsudil 0.01% 0.02% 0.04% Relative to Placebo in Subjects With Open-angle Glaucoma or Ocular Hypertension in Japan
NCT05116345,DEXTENZA for the Treatment of Pain and Inflammation Following Surgical Trabeculectomy and Ahmed Valve Procedures
NCT02993445,Effect of Alternate Therapies on Intraocular Pressure in Ocular Hypertension
NCT01017068,Aqueous Mushroom Extract and Intraocular Pressure
NCT00523250,Ocular Hypotensive Efficacy of AR-102
NCT02434250,Selective Laser Trabeculoplasty After Failed Phacoemulsification With Eximer Laser Trabeculectomy
NCT03506568,A Universal Eye Drop Adherence Monitor to Measure and Improve Adherence to Ocular Medications
NCT03798145,Surgical Retinotomy for the Treatment of Glaucoma
NCT04110015,Assessment of Visual Function in Ophthalmic Disorders Using Virtual Visual Field Analysis
NCT01978015,Blood-aqueous Barrier Changes After the Use of Timolol and Prostaglandin Analogues Fixed Combination in Pseudophakic Patients With POAG
NCT01535768,Effect of Prophylactic Aqueous Suppression on Hyperencapsulation of Ahmed Glaucoma Valves
NCT04405245,Study to Assess the Efficacy Safety and Tolerability of AKB-9778 Ophthalmic Solution as and Adjunct to Latanoprost in Patients With Ocular Hypertension or Open Angle Glaucoma
NCT05062668,Efficacy and Safety of iStent Inject and Inject W in the Management of Primary Open-angle Glaucoma
NCT01416415,Glaucoma Eye Drop Instillation: Impact of Education
NCT03125850,Comparative Study of Psychology and Glaucoma Knowledge in Glaucoma Day-ward Patients Inpatients
NCT01309204,Brinzolamide/Brimonidine Twice a Day (BID) Fixed Combination (FC) vs Brinzolamide BID Plus Brimonidine BID in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT00823706,Prevalence of Angle Closure in Caucasian Hyperopes
NCT06023927,Obstructive Sleep Apnea as a Risk Factor for Normal Tension Glaucoma and a Crucial Step in Preventing Blindness
NCT05209204,Anterior Chamber Angle Examination in Angle Closure Suspect Patients
NCT01319604,SENSIMED Triggerfish
NCT02870504,Clinical Study of LPI on Different Sites of Iris
NCT04673604,From Preserved to Preservative-free Cyclosporine 0.1% Enhanced Triple Glaucoma Therapy
NCT01342406,Effects of Selective Laser Trabeculoplasty on Aqueous Humor Dynamics
NCT01460017,Comparison Between Deep Sclerectomy and Traditional Trabeculotomy & Trabeculectomy in Congenital Glaucoma
NCT03289806,Effects of DHA on Post-operative Fibrosis of Trabulectomy Blebs in Glaucoma Surgery
NCT01254006,Retinal Nerve Fibres Layers Thickness Study in Glaucomatous Patients
NCT02247804,Efficacy and Safety Study of Bimatoprost Sustained-Release (SR) in Participants With Open-angle Glaucoma or Ocular Hypertension
NCT03133117,Deficits Adaptation and Cerebral Functional Reorganization of Visual Retinotopic Treatments During Normal and Pathological Aging (Age-related Macular Degeneration and Glaucoma)
NCT00751127,A 6 Month Study Comparing Latanoprost With Timolol in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT04595227,Glaucoma Screening Using Dynamic Analysis of Computerized Pupillary Light Reflex Assessment Device
NCT01493427,Efficacy of Changing to TRAVATAN® From Prior Therapy
NCT01722604,Therapeutic Equivalence Study of Generic Brinzolamide vs Azopt
NCT05973305,Comparative Study of Dorzol Eye Drops 20 mg/ml Versus Trusopt® Eye Drops 20 mg/ml
NCT05466526,Microinvasive Glaucoma Surgery -The Lowering Effect of Intraocular Pressure on Glaucoma Patients With High Frequency Deep Sclerotomy
NCT00486252,Non Interventional Study in Patients With Open Angle Glaucoma and/or Ocular Hypertension Treated With XALATAN®
NCT02471105,Investigation of IOP and Tolerability of Bimatoprost 0.01% and Tafluprost Unit Dose Preservative Free 15 Microgram/ml
NCT01987752,Safety and Efficacy of Combigan® Ophthalmic Solution in Korea
NCT01252849,Purpose of This Study is to Evaluate the Safety and Efficacy of One Two or Three iStents for the Reduction of Intraocular Pressure in Open-angle Glaucoma Subjects
NCT00709449,An Open Study Comparing the Effects of Moxaverine on Ocular Blood Flow in Patients With Age- Related Macular Degeneration Primary Open Angle Glaucoma and Healthy Control Subjects
NCT02627352,How Safe and Effective is Micropulse Transscleral Cyclophotocoagulation in Patients With Uncontrolled Glaucoma?
NCT00853905,Will the Use of Triesence During Glaucoma Surgery Provide Lower Eye Pressure and Improve the Results of the Surgery?
NCT01444105,Open-angle Glaucoma Subjects on One Ocular Hypotensive Medication Randomized to Treatment With Two Trabecular Micro-bypass Stents or Selective Laser Trabeculoplasty
NCT06078605,Efficacy of Nicotinamide on Retinal Ganglion Cell Functions in Glaucoma Patients
NCT00451152,Safety and Efficacy of Anecortave Acetate in Patients With Open-Angle Glaucoma
NCT04455126,Preservative-free Tafluprost Eye Drops in Newly Diagnosed Patients With Glaucoma
NCT03318705,Testing Latest Version of NidekRS3000Adv
NCT01462526,The Detection of Glaucoma Using Pupillography
NCT02789293,Glaucoma Treatment Using Focused Ultrasound in Open Angle Glaucoma Patients
NCT00047593,Phase 3 Study Comparing IOP Lowering in OAG or OH in Japanese Subjects C-01-98
NCT01343082,DE-111 Ophthalmic Solution in Patients With Open Angle Glaucoma or Ocular Hypertension
NCT01527682,Efficacy and Safety of Topically Applied Medical Therapy for the Treatment of Pediatric Glaucoma
NCT04417920,Express Implant Versus Trabeculectomy After Late Failure Trabeculectomy
NCT03850782,Evaluation of the Duration of Effect of Bimatoprost SR in Participants With Open-Angle Glaucoma or Ocular Hypertension
NCT02526693,Is the RAPDx Pupillograph Able to Distinguish Between Glaucoma Subjects and Healthy Subjects?
NCT04302220,Myopic Optic Neuropathy in Chinese High Myopia Population
NCT01067482,The Performances of Spectral Domain Optical Coherence Tomography (OCT) for Distinguishing Glaucomatous Eyes
NCT05576493,Combined Phacoemulsification and Diode Laser Therapy in Chronic Angle Closure Glaucoma
NCT05654493,Use of Micropulse Trans-Scleral Cyclophotocoagulation Laser (MP-TSCPC) for Glaucoma Patients
NCT00824720,Safety and Efficacy of a Glaucoma Drug Delivery System
NCT02639975,First-in-human Study To Assess the Safety and Tolerability of PBF-677 in Healthy Volunteers
NCT04421859,Augmented Reality Mobile Application for Glaucoma Education in the South Bronx
NCT03587454,Feasibility of Teleglaucoma Versus Conventional Clinical Evaluation for Diagnostic Accuracy and Management Recommendations in Patients With Glaucoma
NCT01923454,Immediate Anterior Chamber Paracentesis With A 30-Gauge Needle for Acute Primary Angle - Closure
NCT04563559,PREFERENTIAL Study
NCT03758859,CLARITY Imaging Study
NCT03751059,NSAID vs Steroid in Trabeculectomy Wound Management
NCT00332059,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension
NCT04868175,Interval Intraocular Pressure in Intravitreal Injection Study
NCT05548959,Outflow Facility AIT vs Microshunt
NCT04215575,Baerveldt (BGI) Valve Versus Ahmed(AGV) Valve in Management of Difficult Glaucoma Cases
NCT03639675,Study to Learn How the Drug Aflibercept Works in in Japanese Patients With Increased Eye Pressure That is Caused by New Blood Vessels Growing in the Eye (Neovascular Glaucoma or NVG). Safety of the Drug and Patients' Tolerability of the Drug Injection is Also Studied
NCT05992415,New York City Eye Study (NYCES)
NCT06066645,Travoprost Intraocular Implant + iStent Infinite vs. iStent Infinite Alone
NCT03365245,Partial Least Squares Regression Modelling for Glaucoma Detection
NCT05752045,OphtAI Diagnostic Performance Validation for Automated Screening of Eye Diseases
NCT05451745,Glaucoma Following Pediatric Cataract Surgery
NCT02539745,Associations of Vitamin D Deficiency and Vitamin D Receptor Polymorphisms With the Risk of Primary Open-angle Glaucoma
NCT03967145,Turkish Version of the Glaucoma Quality of Life-15 Questionnaire
NCT02710916,SD-OCT Multimodal Analysis in GLaucoma
NCT02084745,Timing of Glaucoma Drainage Device With Boston Keratoprosthesis
NCT00280345,Autoimmune Dysregulation in Pigmentary Glaucoma
NCT00308945,Influence of Prostaglandins on Ocular Blood Flow in Glaucoma Patients
NCT02921568,Side-by-Side Comparison of P200TE and Spectral OCT/SLO on Diseased Eyes
NCT04401982,Measuring the Effects of Rhopressa on Episcleral and Retinal Blood Flow in Ocular Hypertension and Glaucoma Suspects
NCT04296916,Effect of Lowering IOP in Glaucoma Suspects With HM
NCT00727168,Screening for Glaucoma in Namil Area South Korea
NCT00471068,Study of Travatan and Cosopt in Primary Open-Angle Glaucoma or Ocular Hypertension
NCT04354545,Treatment of Ocular Discomfort in Glaucoma Patients Using Multiple Topical Medications
NCT05405868,Nicotinamide in Glaucoma
NCT04635020,Comparison Of iStent to Laser in Exfoliation Glaucoma Helsinki Study Group
NCT01520116,Study of the Safety and Efficacy of ATS907 in Subjects With Primary Open Angle Glaucoma (POAG) and Ocular Hypertension
NCT00141882,Memantine in Patients With Chronic Glaucoma
NCT02835482,Effect of Elevated Intraocular Pressure in Glaucoma Patients During Femtolaser Cataract Surgery
NCT04542616,Baerveldt 350 vs Ahmed ClearPath 250 for the Treatment of Glaucoma
NCT01053416,Pigment Dispersion Syndrome: Natural History and Possible Protective Effect of a YAG Laser Iridotomy
NCT00637130,Safety and Intraocular Pressure (IOP) Lowering Efficacy of Low Dose Travoprost
NCT04629521,Additional Long-Term Follow-up for Subjects Implanted With a CyPass® Micro-Stent
NCT06078592,Comparison of Efficacy and Ocular Surface Assessment Between BRIDIN-plus and Combigan in Glaucoma or Ocular Hypertensive
NCT01422525,Changes of the Peripapillary Retinal Nerve Fiber Layer After Filtration Surgery in Glaucoma Patients
NCT05251792,Macular Pigment Optical Density in Primary Angle-closure Disease
NCT01020721,The Genetic Characteristics in South Korean Patients With Primary Congenital Glaucoma
NCT00454025,Intraocular Pressure (IOP) Changes Associated With Muslim Prayer Postural Changes
NCT00527592,A Single Dose Comfort Comparison of Travatan Z in One Eye Versus Xalatan in the Opposite Eye in Patients With Primary Open-Angle Glaucoma or Ocular Hypertension
NCT03352492,Effect of Peripheral Laser Iridotomy Placement on Post-operative Visual Function
NCT05557721,Uddevalla Skövde Transscleral Micropulse Study
NCT01510392,CEI Van Outreach Screening Study
NCT03104621,Efficacy and Tolerability of Preservative-free 0.0015% Tafluprost in Glaucoma Patients
NCT02207621,Evaluation of Netarsudil (AR-13324) Ophthalmic Solution in Patients With Glaucoma and Ocular Hypertension
NCT00465621,Dose Response Study of AL-37807 Ophthalmic Solution in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT03766425,Comparison of Efficacy and Safety of Mitomycin and Aflibercept Used to Support Primary Trabeculectomy.
NCT00772330,Clinical Study of the Safety and Performance of the Miami InnFocus Drainage Implant to Relieve Glaucoma Symptoms
NCT04465630,A Prospective Multicenter Study of the OMNI® Surgical System in Pseudophakic Eyes With Open Angle Glaucoma
NCT05052242,Evaluation of Ocular Biometry in PACD With Two Swept Source Optical Coherence Tomography Devices
NCT02822742,A Study Assessing the Safety and Efficacy of DE-117 in Subjects With POAG or OH Who Are Non-/Low-responders to Latanoprost: FUJI Study
NCT00342342,Family Studies of Eye Traits
NCT01794442,Study on the Oxygen Saturation in Pulsating and Non-pulsating Central Retinal Veins
NCT02512042,Bioequivalence Study With Clinical Endpoint Comparing Brinzolamide 1% Ophthalmic Suspension to Azopt® 1% Ophthalmic Suspension In the Treatment of Chronic Open Angle Glaucoma or Ocular Hypertension in Both Eyes
NCT03373942,The Effect of Pseudoexfoliation on Choroidal Thickness in Open Angle Glaucoma
NCT01287442,Evaluation of Filtering Blebs Using the Wuerzburg Bleb Classification Score Compared to Other Clinical Findings e.g. the Intraocular Pressure (IOP)
NCT00346489,Outcomes of Intraoperative 5-Fluorouracil Versus Mitomycin C
NCT00846989,Efficacy Tolerability and Safety of RKI983 (0.05% & 0.10%) vs Xalatan in Patients With POAG or Ocular Hypertension
NCT02083289,A 28 Day Study of ONO-9054 Ophthalmic Solution in Subjects With Ocular Hypertension (OHT) or Open-angle Glaucoma (OAG)
NCT01936389,A Prospective Study to Assess the Hypotensive Efficacy of Rho-Kinase Inhibitor AR-12286 Ophthalmic Solution 0.5% and 0.7% in Patients With Exfoliation Syndrome and Ocular Hypertension or Glaucoma
NCT05543889,Evaluation of Clinical Decisions and Assessment of Those at Risk of Primary Angle Closure by Community Optometrists
NCT00061542,Safety and Efficacy Study of BETOPTIC S 0.25% and Timolol Gel-forming Solution 0.25% and 0.5% in Pediatric Patients With Glaucoma or Ocular Hypertension
NCT01042665,Relationship Between Eye Pressure and Ganglion Cell Function in Eyes Receiving Latanoprost Versus Placebo
NCT06000865,Glaucoma Rehabilitation With Action viDeo Games and Exercise - GRADE
NCT02023242,Comparing Effectiveness of the Hydrus Microstent (TM) to Two iStents to Lower IOP in Phakic Eyes
NCT00934089,A Phase 2 Study Of The 24-Hour Intraocular Pressure Lowering And Systemic Exposure Of PF-04217329
NCT00468988,Short Term Comparative Study of Xalatan With Benzalkonium Chloride vs. Travatan Z Without Benzalkonium Chloride in Healthy Volunteers
NCT04863365,A Study of Efficacy and Safety of PHP-201 in Patients With Primary Open Angle Glaucoma or Ocular Hypertension
NCT05876689,Swept Source OCT Imaging With the DREAM VG-OCT
NCT03800589,Assessment of Effectiveness Ex-Press Surgery Modification
NCT00775489,Nasal Steroids in Controlled Glaucoma
NCT00567788,Comparison of Bimatoprost and Latanoprost in Patients With Chronic Angle-Closure Glaucoma: A Randomized Cross-Over Study
NCT01443988,Subjects With Open-angle Glaucoma Pseudoexfoliative Glaucoma or Ocular Hypertension Naïve to Medical and Surgical Therapy Treated With Two Trabecular Micro-bypass Stents (iStent)or Travoprost
NCT05241938,PSLT Compared to Prostaglandin Analogue Eye Drops
NCT01417689,Eyedrop Instillation Technique
NCT04700189,A FIH Trial of the STREAMLINE™ SURGICAL SYSTEM
NCT04900142,Micropulsed Laser Trabeculoplasty Using Different Parameters
NCT05162989,iCare HOME2 Clinical Trial
NCT00311389,A 12-Month Study to Evaluate the Efficacy and Safety of Once-Daily Instillation of Combination Glaucoma Therapy in Patients With Open-Angle Glaucoma or Ocular Hypertension
NCT01956942,Micropulse Laser Trabeculoplasty (MLT) Versus Selective Laser Trabeculoplasty (SLT) for Treatment of Open Angle Glaucoma
NCT01222065,Polarization Sensitive Retinal Tomography for Glaucoma Diagnosis
NCT00444665,Examining The Efficacy Safety And Improved Tolerability Of Travoprost BAK Free Ophthalmic Solution (Travatan-Z) Compared To Prior Prostaglandin Therapy
NCT04651530,Endoscopic Cyclophotocoagulation in Normal Tension Glaucoma
NCT04129021,Multimodal Ophthalmic Imaging
NCT05283031,The Water Drinking Test in Glaucoma Study
NCT00405431,Will Restasis Eye Drops Increase Your Chance of Having a Successful Surgery?
NCT00051142,A Safety and Efficacy Study of Travoprost 0.004% Compared to Latanoprost 0.005% in Patients With Open-Angle Glaucoma (OAG) or Ocular Hypertension (OHT)
NCT02613442,Factors Affecting Aqueous Humor Outflow Facility in Patients With Uveitis
NCT05316142,Any Unique Identifier Assigned to the Protocol by the Sponsor
NCT00956865,Community Glaucoma Screening Follow-up
NCT04052165,IOP Reduction and Complications of Polymethyl Methacrylate GDD on Glaucoma Patient
