NCT Number,Study Title,Sex
NCT04475900,Computer-aided Diagnosis of Ocular Diseases Based on Corneal Biomechanics,ALL
NCT00708422,Effects of Travatan Z and Xalatan on Ocular Surface Health,ALL
NCT01033422,Safety and Efficacy of Daily CF101 Administered Orally in Subjects With Elevated Intraocular Pressure,ALL
NCT04295122,Comparing the Effectiveness of Phacoemulsification + ECP Laser and Phacoemulsification Alone for Glaucoma Patients,ALL
NCT04295122,Comparing the Effectiveness of Phacoemulsification + ECP Laser and Phacoemulsification Alone for Glaucoma Patients,ALL
NCT05205122,Evaluation of Primary Congenital Glaucoma at Asyut University Hospital,ALL
NCT00406822,OculusGen-Glaucoma Historical Control Study in Taiwan,ALL
NCT00382122,Prevalence of Ocular Surface Disease in Glaucoma Patients,ALL
NCT00362622,Determinants of Compliance With Glaucoma Therapy,ALL
NCT00856622,A Study Demonstrating The Effect Of Latanoprost In Combination With Timolol Latanoprost Alone And Timolol Alone On Eye Pressure In Open Angle Glaucoma Or Ocular Hypertension In Patients,ALL
NCT01766947,IOP Fluctuations in Primary Open Angle Glaucoma Patients Before and After Deep Sclerectomy,ALL
NCT00348400,Brimonidine Purite 0.15% Versus Dorzolamide 2% Used as Adjunctive Therapy to Latanoprost,ALL
NCT01491867,Continuous Intraocular Pressure (IOP) Measurement and Ability to Detect Treatment Effect,ALL
NCT01629407,A Study of the Rate of Progression of Glaucoma During a Follow-up Period of Two Years,ALL
NCT04796883,A Study for Assessing the Safety of Hanita Glaucoma Shunt in Glaucoma Patients,ALL
NCT03647033,Phacoemulsification Versus Phacoemulsification With Micro-bypass Stent,ALL
NCT02613533,Water Drinking Test in Patients With Occludable Angle,ALL
NCT01726543,Safety and Efficacy of Canaloplasty and Non-penetrating Deep Sclerectomy With Phacoemulsification to Treat Glaucoma and Cataract,ALL
NCT00670033,Travoprost New Formulations in Patients With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT05220007,Effect of Presbyopic Correction Lens on Humphrey Visual Field Testing in Patients With Multifocal Intraocular Lens,ALL
NCT04781283,Study Comparing the Kinetics of Endothelial Cell Loss Associated With the XEN® Implant Versus Traditional Filtering Surgery for Glaucoma,ALL
NCT04014933,Reproducibility of Blood Flowmetry in Human Retina Using the Nidek Laser Speckle Flowgraphy LSFG-NAVI System,ALL
NCT04143620,Triple Procedure for Dense Cataractus Neovascular Glaucoma Patients,ALL
NCT01908816,An Open-label Extended Clinical Protocol of Ranibizumab to Evaluate Safety and Efficacy in Rare VEGF Driven Ocular Diseases.,ALL
NCT01612416,Spectral Domain Optical Coherence Tomography Analysis for Glaucoma,ALL
NCT04072016,Study of the Beacon Aqueous Microshunt in Patients With Refractory Glaucoma,ALL
NCT04524416,MINIject Global Long-Term Follow-up Study,ALL
NCT00061516,Safety and Efficacy Study of BETAXON 0.5% and AZOPT 1.0% in Pediatric Patients With Glaucoma or Ocular Hypertension,ALL
NCT01229982,A Study Evaluating the Latanoprost Punctal Plug Delivery System (L-PPDS) in Subjects With Ocular Hypertension or Open-Angle Glaucoma,ALL
NCT01510145,Efficacy of Changing to TRAVATAN® From Prior Therapy,ALL
NCT02570867,Functional Brain Changes of Primary Open-angle Glaucoma Patients,ALL
NCT00820300,A Safety Study of the Latanoprost Punctal Plug Delivery System (L-PPDS) in Subjects With Ocular Hypertension or Open Angle Glaucoma,ALL
NCT00902200,A Study of AR-12286 in Patient With Elevated Intraocular Pressure (IOP),ALL
NCT04092400,Study on Micro-invasive Glaucoma Surgical (MIGS) Devices,ALL
NCT00522600,Eye Drop Use in Glaucoma Patients Through Patient Surveys and Video Observations,ALL
NCT00293800,A Study of Glaucoma Therapy to Treat Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT01433900,Switching From Preserved to Preserved-free Treatments for Glaucoma.,ALL
NCT02554214,Pilot Clinical Trial on a New Adjustable Glaucoma Drainage Device,ALL
NCT04695314,Foot Reflexology in Ocular Hypertensive and Glaucoma Patients,ALL
NCT04577300,Dual Intravitreal Implantation of NT-501 Encapsulated Cell Therapy for Glaucoma,ALL
NCT04131114,Glaucoma After Congenital And Infantile Cataract Surgery,ALL
NCT03080714,Triton Agreement and Precision Study,ALL
NCT01978600,Evaluation of Intraocular Pressure Using Simbrinza™ in Patients With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT03107000,Corneal Endothelial Cell Loss After Trabeculectomy Versus Phakotrabeculectomy,ALL
NCT00675207,Comparison of Brimonidine Purite Dorzolamide and Brinzolamide as Adjunctive Therapy to Prostaglandin Analogs,ALL
NCT04339907,Inflammatory Mediators of Glaucoma After Corneal Transplantation (AH-Tears),ALL
NCT01795014,Correlation of Orbital Cerebrospinal Fluid Pressure and Retinal Venous Outflow in Primary Open-angle Glaucoma,ALL
NCT04036214,Efficacy and Safety Outcomes of Optometrist Performed Selective Laser Trabeculoplasty (SLT),ALL
NCT00449956,MK0507A Clinical Study in Patients With Glaucoma and Ocular Hypertension (0507A-149)(COMPLETED),ALL
NCT00275756,Effects of Common Topical Glaucoma Therapy on Optic Nerve Head Blood Flow Autoregulation During Increased Arterial Blood Pressure and Artificially Elevated Intraocular Pressure in Healthy Humans,ALL
NCT04687800,Clinical Investigation of the Dextenza 0.4mg Intracanalicular Insert Delivery System Used in Cataract Surgery,ALL
NCT03733600,Evaluation of the Xen Implant in Glaucoma Surgery,ALL
NCT00781300,Intraocular Pressure With Loteprednol and Dexamethasone,ALL
NCT03090243,The Effects of Virtual Colonoscopy on Intraocular Pressure,ALL
NCT05389267,Safety Assessment of T4090 Eye Drops in Ocular Hypertensive or Glaucomatous Patients.,ALL
NCT05717543,Imaging of Corneal and Crystalline by Near Infrared Retro-illumination,ALL
NCT03108443,Novel Markers for Detecting Early Progression of Glaucoma,ALL
NCT04061343,The Effects of Changing Light Levels on Contrast Sensitivity in Patients With Glaucoma,ALL
NCT03927443,A Comparative Study of SPARC's SDP-133 Once Daily and Lumigan in Subjects With Open Angle Glaucoma or Ocular Hypertension,ALL
NCT06053307,Treating Psychosocial Distress in Glaucoma,ALL
NCT00823043,A Comfort Survey of Open-angle Glaucoma or Ocular Hypertension Patients Treated With 2 Drugs,ALL
NCT04521907,Correlative Study on Incidence and Risk Factors of Glaucoma-related Adverse Event at Various Durations After Congenital Cataract Surgery,ALL
NCT01639807,Clinical Evaluation of Efficacy of SLT to Topical Medication in Lowering IOP,ALL
NCT01364207,The Effects of Caffeinated Coffee on Intraocular Pressure,ALL
NCT04943107,Effect of Antihypertensive Drugs on Glaucoma Patients,ALL
NCT00300079,Study of the Intraocular Pressure (IOP)-Lowering Efficacy of Azopt 1.0% Compared to Timolol 0.5% in Patients With Glaucoma or Ocular Hypertension,ALL
NCT04046809,Study of Neurotidine® Intake on Life Quality of Patients With Glaucoma,ALL
NCT02522039,Pupillary Response After Glaucoma Medication,ALL
NCT00902109,Study to Compare Standard Perimetry With the New Scotoma-Oriented Perimetry (SCOPE) Using a New Fast German Adaptive Threshold Estimation (GATE) in Glaucoma Patients,ALL
NCT01983579,TF (SENSIMED Triggerfish) in Intraocular Anti-VEGF (Vascular Endothelial Growth Factor) Injection,ALL
NCT02375009,Glaucoma Management in the African-Derived Developing World Using Trabeculoplasty,ALL
NCT00327509,mRNA Expression in Lymphocytes of Glaucoma Patients,ALL
NCT04585100,FM101 Safety Tolerability Efficacy Study in the Patients With Ocular Hypertension,ALL
NCT04647214,18 Month Prospective Efficacy and Safety Study of Bimatoprost Intracameral Implant (DURYSTA),ALL
NCT05159414,Study of Application of Pulse Electrical Stimulation Around Eye in Glaucoma Patients,ALL
NCT01168414,A Study of Ganfort Versus Duotrav in Patients With Primary Open Angle Glaucoma or Ocular Hypertension,ALL
NCT01298700,Long-Term Safety of Bimatoprost Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,ALL
NCT03686072,Cataract Surgery Combined With Endoscopic Goniosynechialysis for Advanced Primary Angle Closure Glaucoma,ALL
NCT00570362,Systemic Glutathione Level in Normal Tension Glaucoma,ALL
NCT01252862,Prospective Evaluation of Open-Angle Glaucoma Subjects on One Topical Hypotensive Medication Treated With Two iStents,ALL
NCT04273438,Determining the Clinical Utility of Using Virtual Reality Headsets to Assess Visual Function in Those With Glaucoma.,ALL
NCT01845038,Multi-Arm Feasibility Study Evaluating OTX-TP Compared to Timolol in Treatment of Subjects With Open Angle Glaucoma,ALL
NCT04586738,Efficacy and Safety of Non-resorbable Uveoscleral Implant Versus Absorbable Collagen Matrix in Non-perforating Deep Sclerectomy,ALL
NCT03852810,Satisfaction With XEN Gel Stent Versus Trabeculectomy for the Treatment of Glaucoma,ALL
NCT02105272,Efficacy and Safety Study of OPC-1085EL Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension,ALL
NCT00751062,A Study of Open Angle Glaucoma or Ocular Hypertension in Patients Within Scandinavia,ALL
NCT00348062,A Multicenter Evaluation of Methods to Reduce Hyperemia Associated With Bimatoprost Therapy for Glaucoma or Ocular Hypertension,ALL
NCT00862472,Safety and Efficacy Study of DuoTrav APS Versus DuoTrav,ALL
NCT00320762,Ologen (OculusGen)-Glaucoma and Pterygium Historical Control Study in China Beijing Hospital,ALL
NCT05247762,Effect of Acupuncture on Visual Acuity and Visual Field in Patients With Primary Open-angle Glaucoma,ALL
NCT04024072,To Compare the Safety and Efficacy of Perrigo's Product to an FDA Approved Product for the Treatment of Glaucoma or Ocular Hypertension in Both Eyes,ALL
NCT06016972,Qlaris Phase 2 Study of QLS-111 in POAG and/or OHT Patients,ALL
NCT00371072,Trabeculectomy With MMC Versus Ahmed Glaucoma Implant for Treatment of Pediatric Aphakic Glaucoma,ALL
NCT01408472,NT-501 CNTF Implant for Glaucoma: Safety Neuroprotection and Neuroenhancement,ALL
NCT04898387,Efficacy and Safety Assessment of T4030 Eye Drops Versus Ganfort® UD in Ocular Hypertensive or Glaucomatous Patients.,ALL
NCT03654885,XEN-45 Gel Stent Versus Trabeculectomy in Glaucoma: Gold-Standard Pathway Study (GPS),ALL
NCT03278587,Village-Integrated Eye Worker Trial II - Pilot,ALL
NCT03278587,Village-Integrated Eye Worker Trial II - Pilot,ALL
NCT02876185,Evaluation of the Possibility to Delegate Glaucoma Surveillance to Orthoptists in Hospital,ALL
NCT03192085,Comparison of SITA-Standard Compared to SITA-Fast Visual Fields.,ALL
NCT03192085,Comparison of SITA-Standard Compared to SITA-Fast Visual Fields.,ALL
NCT01528787,Study of AR-13324 in Patients With Elevated Intraocular Pressure,ALL
NCT04943185,A Prospective Single Surgeon Randomized Control Study Comparing ab Interno XEN Gel Microstent Implantation vs Closed Conjunctiva ab Externo Implantation Performed at the Slit Lamp for the Treatment of Uncontrolled Glaucoma,ALL
NCT00981786,24-Hour Intraocular Pressure With Brinzolamide/Timolol Versus Brimonidine/Timolol,ALL
NCT00304785,Latanoprost Versus Fotil,ALL
NCT00693485,Safety and Effects of Brimonidine Intravitreal Implant in Patients With Glaucomatous Optic Neuropathy,ALL
NCT01384487,Nidek RS3000 Comparative Study,ALL
NCT00607685,5FU vs 5FU With Viscoelastic Formulation for the Prevention of Scarring Post-trabeculectomy,ALL
NCT00607685,5FU vs 5FU With Viscoelastic Formulation for the Prevention of Scarring Post-trabeculectomy,ALL
NCT01906151,IOP Pattern in Primary Angle Closure and Primary Angle Closure Glaucoma Patients Before and After LPI,ALL
NCT06016712,The Effect of Labor on Intraocular Pressure Fluctuation in Healthy Eyes,FEMALE
NCT04703712,Lens Extraction Combined With Goniosynechialysis Versus Trabeculectomy,ALL
NCT04434612,Effect of OXSIGHT Smart Glasses on Patients With Advanced Glaucoma,ALL
NCT02020512,A Study of 0.03% Bimatoprost in the Treatment of Primary Open Angle Glaucoma and Ocular Hypertension,ALL
NCT00321386,Analysis of Clinical Profiles of Chinese Patients With Normal Tension Glaucoma,ALL
NCT00321386,Analysis of Clinical Profiles of Chinese Patients With Normal Tension Glaucoma,ALL
NCT01895686,Comparison of Gonioscopy With Cirrus and Visante,ALL
NCT02327312,Multicenter Investigation of Trabecular Micro-Bypass Stents vs. Laser Trabeculoplasty,ALL
NCT00491712,Comparison of Efficacy Between Silicone Ahmed Glaucoma Valves With and Without Intravitreal Triamcinolone Injection,ALL
NCT00651612,Study to Evaluate Safety of Brimonidine/Timolol Fixed Combination in Glaucoma or Ocular Hypertension Patients,ALL
NCT00799682,Exploratory Study Comparing Signs and Symptoms in Patients With Ocular Hypertension or Glaucoma Using Xalatan R® or Travatan Z®,ALL
NCT04232982,The Role of Transscleral Cyclophotocoagulation in Patients Undergoing a Boston Keratoprosthesis,ALL
NCT01305616,Effect of Yellow-Tinted Intraocular Lens on Standard Automated Perimetry (SAP) and Short-wavelength Automated Perimetry (SWAP) in Patients With and Without Glaucoma,ALL
NCT00347893,The Efficacy of Selective Laser Trabeculoplasty,ALL
NCT00402493,Study to Determine if Taking OTC Non-Steroidal Anti-Inflammatory Affects Eye Pressure in Patients Using Glaucoma Drops,ALL
NCT02708082,Glaucoma HFA / OCT Specificity Study,ALL
NCT03098316,Metabolomics in Surgical Ophthalmological Patients,ALL
NCT05299593,24-hour Efficacy and Tolerability of the Tafluprost-timolol Fixed Association Without Preservatives in Glaucomatous or Ocular Hypertensive Patients Already Treated With Latanoprost Preserved With BAK. A Prospective Open Study of 3 Months Duration.,ALL
NCT01174420,Comparative Study of Ologen Collagen Matrix Versus Mitomycin-C in Trabeculectomy: A Study in Germany,ALL
NCT00626782,Lucentis Versus Mitomycin C During Glaucoma Surgery,ALL
NCT00626782,Lucentis Versus Mitomycin C During Glaucoma Surgery,ALL
NCT05163093,Research on the Diagnosis and Treatment of Angle Closure Glaucoma With Abnormal Lens Zonular,ALL
NCT01000220,Evaluation of Omeprazole Effect on Glaucoma,ALL
NCT03642782,Evaluation of the Electroretinogram Pattern (Diopsys® NOVA System) for the Early Diagnosis of Glaucoma,ALL
NCT06076720,Evaluation of New Head-mounted Visual Aids Among Patients With Low Vision,ALL
NCT00767793,A Placebo-Controlled Study of INS117548 Ophthalmic Solution in Subjects With Glaucoma (P08650),ALL
NCT02679482,Following Patients After Selective and Pascal Laser Trabeculoplasty for Treatment of Chronic Open-Angle Glaucoma,ALL
NCT01843920,The Effect of Glaucoma Drops on of the Duration of a Pure Intraocular Gas Bubble,ALL
NCT01228149,COSOPT-S® Treatment Versus Acetazolamide Before Trabeculectomy,ALL
NCT01314326,Advanced Imaging for Glaucoma Study,ALL
NCT01318252,AL-54478 Proof of Concept Study,ALL
NCT04461249,Comparison Between Latanoprost  Travoprost and Tafluprost in Reducing IOP Fluctuation in POAG Patients,ALL
NCT03267849,Lamina Cribrosa Depth Change With Change in Eye Pressure,ALL
NCT02955849,A Trial of China Laser and Surgery Study Glaucoma in Rural China,ALL
NCT00961649,Safety and Efficacy of Brinzolamide/Brimonidine Fixed Combination,ALL
NCT05075226,Visual Outcomes of Vivity in Patients With Well Controlled Glaucoma,ALL
NCT03972852,Establishment of an Anaesthetic Protocol for Examinations for Children With Glaucoma or Suspected Glaucoma,ALL
NCT03590249,Effects of a Single Osteopathic Manipulative Treatment (OMT) on Intraocular Pressure (IOP) Reduction,ALL
NCT00306852,Tube Versus Trabeculectomy (TVT) Study,ALL
NCT00306852,Tube Versus Trabeculectomy (TVT) Study,ALL
NCT01302249,AR-12286 in Combination With Latanoprost,ALL
NCT02784249,A Comparison of Two Ab Interno Procedures in the Treatment of Glaucoma in Patients Undergoing Cataract Extraction,ALL
NCT04020705,The Efficacy of Citicoline in Eyedrops (OMK1) in Reducing the Progression of Glaucoma,ALL
NCT00272363,Clinical and Molecular Studies in Families With Glaucoma and Related Diseases,ALL
NCT02863705,Efficacy and Safety of COMBIGAN® in Korean Patients With Primary Open Angle Glaucoma (POAG) and Normal Tension Glaucoma (NTG),ALL
NCT03548805,Ologen® Collagen Matrix Versus Mitomycin-C in Patients With Juvenile-onset Open Angle Glaucoma,ALL
NCT02713152,Prevalence of Obstructive Sleep Apnoea in Glaucoma,ALL
NCT02713152,Prevalence of Obstructive Sleep Apnoea in Glaucoma,ALL
NCT00327405,Results of Ocular Compression and Suture Release in Trabeculectomy and Combined Surgery,ALL
NCT00603005,Adherence Improvement in Glaucoma Patients,ALL
NCT00001152,Pigment Dispersion Syndrome With and Without Glaucoma,ALL
NCT00570726,Treatment of Failing Blebs With Ranibizumab,ALL
NCT03889652,Optical Coherence Tomography of Nerve Fiber Layer and Ganglion Cell Complex After Cataract Extraction,ALL
NCT02959593,The Effects of Visior on Ocular Hemodynamics,ALL
NCT06128720,Hyperbaric Oxygen Therapy for Optic Neuropathies,ALL
NCT03257020,The Diagnostic Performance of BMO-MRW and RNFL Thickness and Their Combinational Index Using Artificial Neural Network,ALL
NCT01021982,Evaluation of Objective Perimetry Using Pupillometer,ALL
NCT01021982,Evaluation of Objective Perimetry Using Pupillometer,ALL
NCT04118920,Safety of Topical Insulin Drops for Open-angle Glaucoma,ALL
NCT03534882,Effects of Prostaglandin Analogue Washout Following Long-term Therapy in Adults With Primary Open Angle Glaucoma,ALL
NCT05624593,P200TE and Predicate Agreement and Precision Study,ALL
NCT05279716,Study in Prostaglandin Associated Peri-orbitopathy Switching From Prostaglandin Monotherapy to Omidenepag Isopropyl,ALL
NCT01357616,Fixed Combination Brinzolamide 1%/Timolol 0.5% Versus Brinzolamide 1% + Timolol 0.5% in Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT02390245,Philadelphia Telemedicine Glaucoma Detection and Follow-Up Study,ALL
NCT01012245,Non-Interventional Study In Patients With Ocular Hypertension And Open Angle Glaucoma Treated With Xalatan And Xalacom,ALL
NCT05474716,The Effect of Topical Brimonidine on the Ocular Hemodynamics in Patients of POAG Using OCTA,ALL
NCT01709916,Comparing Diurnal Fluctuations in Intra Ocular Pressure Measured in Same Day Versus Different Days in Glaucoma Patients,ALL
NCT00753168,Phase 1-2 Evaluation of OT-730 Eye Drops in Reducing the Intraocular Pressure in Patients With Ocular Hypertension or Open-Angle Glaucoma,ALL
NCT05822245,A Study of PER-001 in Participants With Open-Angle Glaucoma,ALL
NCT05670015,Ocular Changes With Alpha-2 Receptor Agonist.,ALL
NCT01693315,Multiple Dose-escalation Study of AMA0076 in Patients With Ocular Hypertension or Primary Open-angle Glaucoma,ALL
NCT01362868,Water Drinking Test During Intraocular Pressure Fluctuation (IOP) Monitoring,ALL
NCT00762645,Travoprost 0.004% Versus Pilocarpine 1% in Patients With Chronic Angle Closure Glaucoma (CACG),ALL
NCT00721968,Safety and Efficacy of the GTS400 Stent in Conjunction With Cataract,ALL
NCT00804115,The International Collaborative Exfoliation Syndrome Treatment Study,ALL
NCT01551550,Shunt Tube Exposure Prevention Study,ALL
NCT01551550,Shunt Tube Exposure Prevention Study,ALL
NCT01551550,Shunt Tube Exposure Prevention Study,ALL
NCT01551550,Shunt Tube Exposure Prevention Study,ALL
NCT03844945,Efficacy and Systemic Safety of Netarsudil 0.01% 0.02% 0.04% Relative to Placebo in Subjects With Open-angle Glaucoma or Ocular Hypertension in Japan,ALL
NCT05116345,DEXTENZA for the Treatment of Pain and Inflammation Following Surgical Trabeculectomy and Ahmed Valve Procedures,ALL
NCT02993445,Effect of Alternate Therapies on Intraocular Pressure in Ocular Hypertension,ALL
NCT01017068,Aqueous Mushroom Extract and Intraocular Pressure,ALL
NCT00523250,Ocular Hypotensive Efficacy of AR-102,ALL
NCT02434250,Selective Laser Trabeculoplasty After Failed Phacoemulsification With Eximer Laser Trabeculectomy,ALL
NCT03506568,A Universal Eye Drop Adherence Monitor to Measure and Improve Adherence to Ocular Medications,ALL
NCT03506568,A Universal Eye Drop Adherence Monitor to Measure and Improve Adherence to Ocular Medications,ALL
NCT03506568,A Universal Eye Drop Adherence Monitor to Measure and Improve Adherence to Ocular Medications,ALL
NCT03798145,Surgical Retinotomy for the Treatment of Glaucoma,ALL
NCT04110015,Assessment of Visual Function in Ophthalmic Disorders Using Virtual Visual Field Analysis,ALL
NCT01978015,Blood-aqueous Barrier Changes After the Use of Timolol and Prostaglandin Analogues Fixed Combination in Pseudophakic Patients With POAG,ALL
NCT01535768,Effect of Prophylactic Aqueous Suppression on Hyperencapsulation of Ahmed Glaucoma Valves,ALL
NCT04405245,Study to Assess the Efficacy Safety and Tolerability of AKB-9778 Ophthalmic Solution as and Adjunct to Latanoprost in Patients With Ocular Hypertension or Open Angle Glaucoma,ALL
NCT05062668,Efficacy and Safety of iStent Inject and Inject W in the Management of Primary Open-angle Glaucoma,ALL
NCT01416415,Glaucoma Eye Drop Instillation: Impact of Education,ALL
NCT03125850,Comparative Study of Psychology and Glaucoma Knowledge in Glaucoma Day-ward Patients Inpatients,ALL
NCT01309204,Brinzolamide/Brimonidine Twice a Day (BID) Fixed Combination (FC) vs Brinzolamide BID Plus Brimonidine BID in Patients With Open Angle Glaucoma or Ocular Hypertension,ALL
NCT00823706,Prevalence of Angle Closure in Caucasian Hyperopes,ALL
NCT06023927,Obstructive Sleep Apnea as a Risk Factor for Normal Tension Glaucoma and a Crucial Step in Preventing Blindness,ALL
NCT05209204,Anterior Chamber Angle Examination in Angle Closure Suspect Patients,ALL
NCT01319604,SENSIMED Triggerfish,ALL
NCT02870504,Clinical Study of LPI on Different Sites of Iris,ALL
NCT04673604,From Preserved to Preservative-free Cyclosporine 0.1% Enhanced Triple Glaucoma Therapy,ALL
NCT01342406,Effects of Selective Laser Trabeculoplasty on Aqueous Humor Dynamics,ALL
NCT01460017,Comparison Between Deep Sclerectomy and Traditional Trabeculotomy & Trabeculectomy in Congenital Glaucoma,ALL
NCT03289806,Effects of DHA on Post-operative Fibrosis of Trabulectomy Blebs in Glaucoma Surgery,ALL
NCT01254006,Retinal Nerve Fibres Layers Thickness Study in Glaucomatous Patients,ALL
NCT01254006,Retinal Nerve Fibres Layers Thickness Study in Glaucomatous Patients,ALL
NCT01254006,Retinal Nerve Fibres Layers Thickness Study in Glaucomatous Patients,ALL
NCT02247804,Efficacy and Safety Study of Bimatoprost Sustained-Release (SR) in Participants With Open-angle Glaucoma or Ocular Hypertension,ALL
NCT03133117,Deficits Adaptation and Cerebral Functional Reorganization of Visual Retinotopic Treatments During Normal and Pathological Aging (Age-related Macular Degeneration and Glaucoma),ALL
NCT00751127,A 6 Month Study Comparing Latanoprost With Timolol in Patients With Open Angle Glaucoma or Ocular Hypertension,ALL
NCT04595227,Glaucoma Screening Using Dynamic Analysis of Computerized Pupillary Light Reflex Assessment Device,ALL
NCT01493427,Efficacy of Changing to TRAVATAN® From Prior Therapy,ALL
NCT01722604,Therapeutic Equivalence Study of Generic Brinzolamide vs Azopt,ALL
NCT05973305,Comparative Study of Dorzol Eye Drops 20 mg/ml Versus Trusopt® Eye Drops 20 mg/ml,ALL
NCT05466526,Microinvasive Glaucoma Surgery -The Lowering Effect of Intraocular Pressure on Glaucoma Patients With High Frequency Deep Sclerotomy,ALL
NCT00486252,Non Interventional Study in Patients With Open Angle Glaucoma and/or Ocular Hypertension Treated With XALATAN®,ALL
NCT02471105,Investigation of IOP and Tolerability of Bimatoprost 0.01% and Tafluprost Unit Dose Preservative Free 15 Microgram/ml,ALL
NCT01987752,Safety and Efficacy of Combigan® Ophthalmic Solution in Korea,ALL
NCT01252849,Purpose of This Study is to Evaluate the Safety and Efficacy of One Two or Three iStents for the Reduction of Intraocular Pressure in Open-angle Glaucoma Subjects,ALL
NCT00709449,An Open Study Comparing the Effects of Moxaverine on Ocular Blood Flow in Patients With Age- Related Macular Degeneration Primary Open Angle Glaucoma and Healthy Control Subjects,ALL
NCT02627352,How Safe and Effective is Micropulse Transscleral Cyclophotocoagulation in Patients With Uncontrolled Glaucoma?,ALL
NCT00853905,Will the Use of Triesence During Glaucoma Surgery Provide Lower Eye Pressure and Improve the Results of the Surgery?,ALL
NCT01444105,Open-angle Glaucoma Subjects on One Ocular Hypotensive Medication Randomized to Treatment With Two Trabecular Micro-bypass Stents or Selective Laser Trabeculoplasty,ALL
NCT06078605,Efficacy of Nicotinamide on Retinal Ganglion Cell Functions in Glaucoma Patients,ALL
NCT00451152,Safety and Efficacy of Anecortave Acetate in Patients With Open-Angle Glaucoma,ALL
NCT04455126,Preservative-free Tafluprost Eye Drops in Newly Diagnosed Patients With Glaucoma,ALL
NCT03318705,Testing Latest Version of NidekRS3000Adv,ALL
NCT01462526,The Detection of Glaucoma Using Pupillography,ALL
NCT02789293,Glaucoma Treatment Using Focused Ultrasound in Open Angle Glaucoma Patients,ALL
NCT00047593,Phase 3 Study Comparing IOP Lowering in OAG or OH in Japanese Subjects C-01-98,ALL
NCT01343082,DE-111 Ophthalmic Solution in Patients With Open Angle Glaucoma or Ocular Hypertension,ALL
NCT01527682,Efficacy and Safety of Topically Applied Medical Therapy for the Treatment of Pediatric Glaucoma,ALL
NCT04417920,Express Implant Versus Trabeculectomy After Late Failure Trabeculectomy,ALL
NCT03850782,Evaluation of the Duration of Effect of Bimatoprost SR in Participants With Open-Angle Glaucoma or Ocular Hypertension,ALL
NCT02526693,Is the RAPDx Pupillograph Able to Distinguish Between Glaucoma Subjects and Healthy Subjects?,ALL
NCT04302220,Myopic Optic Neuropathy in Chinese High Myopia Population,ALL
NCT01067482,The Performances of Spectral Domain Optical Coherence Tomography (OCT) for Distinguishing Glaucomatous Eyes,ALL
NCT05576493,Combined Phacoemulsification and Diode Laser Therapy in Chronic Angle Closure Glaucoma,ALL
NCT05654493,Use of Micropulse Trans-Scleral Cyclophotocoagulation Laser (MP-TSCPC) for Glaucoma Patients,ALL
NCT00824720,Safety and Efficacy of a Glaucoma Drug Delivery System,ALL
NCT02639975,First-in-human Study To Assess the Safety and Tolerability of PBF-677 in Healthy Volunteers,MALE
NCT04421859,Augmented Reality Mobile Application for Glaucoma Education in the South Bronx,ALL
NCT03587454,Feasibility of Teleglaucoma Versus Conventional Clinical Evaluation for Diagnostic Accuracy and Management Recommendations in Patients With Glaucoma,ALL
NCT01923454,Immediate Anterior Chamber Paracentesis With A 30-Gauge Needle for Acute Primary Angle - Closure,ALL
NCT04563559,PREFERENTIAL Study,ALL
NCT03758859,CLARITY Imaging Study,ALL
NCT03751059,NSAID vs Steroid in Trabeculectomy Wound Management,ALL
NCT00332059,Safety and Efficacy Study of Bimatoprost/Timolol Fixed Combination in Patients With Glaucoma or Ocular Hypertension,ALL
NCT04868175,Interval Intraocular Pressure in Intravitreal Injection Study,ALL
NCT05548959,Outflow Facility AIT vs Microshunt,ALL
NCT04215575,Baerveldt (BGI) Valve Versus Ahmed(AGV) Valve in Management of Difficult Glaucoma Cases,ALL
NCT03639675,Study to Learn How the Drug Aflibercept Works in in Japanese Patients With Increased Eye Pressure That is Caused by New Blood Vessels Growing in the Eye (Neovascular Glaucoma or NVG). Safety of the Drug and Patients' Tolerability of the Drug Injection is Also Studied,ALL
NCT05992415,New York City Eye Study (NYCES),ALL
NCT06066645,Travoprost Intraocular Implant + iStent Infinite vs. iStent Infinite Alone,ALL
NCT03365245,Partial Least Squares Regression Modelling for Glaucoma Detection,ALL
NCT05752045,OphtAI Diagnostic Performance Validation for Automated Screening of Eye Diseases,ALL
NCT05752045,OphtAI Diagnostic Performance Validation for Automated Screening of Eye Diseases,ALL
NCT05752045,OphtAI Diagnostic Performance Validation for Automated Screening of Eye Diseases,ALL
NCT05451745,Glaucoma Following Pediatric Cataract Surgery,ALL
