NCT Number,Study Title,Study URL,Study_Status,Study Type
NCT04333433,PRESERFLO® MicroShunt Extension Study,https://clinicaltrials.gov/study/NCT04333433,COMPLETED,OBSERVATIONAL
NCT03193333,PRO-122 Versus Concomitant Therapy in Subjects With Uncontrolled Primary Open-angle Glaucoma (PRO-122LATAM),https://clinicaltrials.gov/study/NCT03193333,RECRUITING,INTERVENTIONAL
NCT01735214,An Observational Study of Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT) Who Switched IOP-lowering Treatments,https://clinicaltrials.gov/study/NCT01735214,COMPLETED,OBSERVATIONAL
NCT02911883,Evaluation of the Repeatability and Reproducibility of AngioVue,https://clinicaltrials.gov/study/NCT02911883,COMPLETED,OBSERVATIONAL
NCT02802137,24-hour Efficacy and Ocular Surface With Talfuprost and Triple Combined Therapy,https://clinicaltrials.gov/study/NCT02802137,COMPLETED,INTERVENTIONAL
NCT01696383,Assessing the Efficacy of DuoTrav as a Replacement Therapy in Glaucoma Patients in Russia,https://clinicaltrials.gov/study/NCT01696383,WITHDRAWN,INTERVENTIONAL
NCT01721707,Latanoprost/Brinzolamide BID Versus Latanoprost BID in Patients With OAG or OH,https://clinicaltrials.gov/study/NCT01721707,WITHDRAWN,INTERVENTIONAL
NCT00847483,Comparison of Latanoprost With Travoprost and Bimatoprost in Patients With Elevated IOP. A 12-weeks Masked Evaluator Phase IV Multi-center Study in the US,https://clinicaltrials.gov/study/NCT00847483,COMPLETED,INTERVENTIONAL
NCT02406833,Phase I Dose Escalation Study to Investigate the Safety of ISTH0036 in Subjects With Glaucoma Undergoing Trabeculectomy,https://clinicaltrials.gov/study/NCT02406833,COMPLETED,INTERVENTIONAL
NCT01758237,Dysphotopsia Following Laser Peripheral Iridotomy,https://clinicaltrials.gov/study/NCT01758237,COMPLETED,INTERVENTIONAL
NCT01628614,A Study of Intraocular Pressure (IOP) Reduction in Newly Diagnosed Patients With Primary Open Angle Glaucoma (POAG) or Ocular Hypertension (OHT),https://clinicaltrials.gov/study/NCT01628614,COMPLETED,OBSERVATIONAL
NCT03648814,Intracameral Versus Intravitreal Bevacizumab Injection in NVG: RCT,https://clinicaltrials.gov/study/NCT03648814,RECRUITING,INTERVENTIONAL
NCT02989207,Surgical Approaches in Treating Uncontrolled Glaucoma in Black African and African-Caribbeans,https://clinicaltrials.gov/study/NCT02989207,UNKNOWN,INTERVENTIONAL
NCT04328207,Providing Financial Incentives to Improve Adherence to Referral Eye Care Visits,https://clinicaltrials.gov/study/NCT04328207,RECRUITING,INTERVENTIONAL
NCT00441883,Dose-Finding Study Comparing the Safety and Efficacy of Latanoprost to a Novel Treatment for Glaucoma,https://clinicaltrials.gov/study/NCT00441883,COMPLETED,INTERVENTIONAL
NCT00801437,Non Interventional Study With Primary Open Angle Glaucoma and/or Ocular Hypertension Patients Treated With Xalacom® After Failure of Previous Antiglaucoma Therapy.,https://clinicaltrials.gov/study/NCT00801437,COMPLETED,OBSERVATIONAL
NCT04519814,Safety and Effectiveness of VISULAS Green Selective Laser Trabeculoplasty (SLT),https://clinicaltrials.gov/study/NCT04519814,ACTIVE_NOT_RECRUITING,INTERVENTIONAL
NCT00326014,A Study of the Trabecular Micro-Bypass Stent in Combination With Cataract Surgery in Open Angle Glaucoma Subjects.,https://clinicaltrials.gov/study/NCT00326014,COMPLETED,INTERVENTIONAL
NCT03613233,QoL Assessment in Traditional Glaucoma Surgery and MIGS.,https://clinicaltrials.gov/study/NCT03613233,UNKNOWN,INTERVENTIONAL
NCT00349414,Safety Study of Conventional Versus Micropulse Transscleral Cyclophotocoagulation in Treating End-Stage Glaucoma,https://clinicaltrials.gov/study/NCT00349414,UNKNOWN,INTERVENTIONAL
NCT01159314,Baerveldt Plate Area Comparison (BPAC),https://clinicaltrials.gov/study/NCT01159314,TERMINATED,INTERVENTIONAL
NCT00556114,A Pilot Study of Functional Optical Coherence Tomography for Ocular Imaging,https://clinicaltrials.gov/study/NCT00556114,COMPLETED,OBSERVATIONAL
NCT00338533,Endoscopic Goniotomy for Infantile Glaucoma,https://clinicaltrials.gov/study/NCT00338533,COMPLETED,INTERVENTIONAL
NCT05753137,A Clinical Trial of Acupuncture as Adjuvant Therapy for Glaucoma,https://clinicaltrials.gov/study/NCT05753137,NOT_YET_RECRUITING,INTERVENTIONAL
NCT00676637,Glaucoma Adherence Study,https://clinicaltrials.gov/study/NCT00676637,COMPLETED,OBSERVATIONAL
NCT00652483,Safety and Efficacy Study of Brimonidine in Patients With Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00652483,COMPLETED,INTERVENTIONAL
NCT03452033,H-1337 Ophthalmic Solution Phase 1/2,https://clinicaltrials.gov/study/NCT03452033,COMPLETED,INTERVENTIONAL
NCT00434707,Outcome of Small Pupil Phacotrabeculectomy in Persons With Glaucoma and Cataract,https://clinicaltrials.gov/study/NCT00434707,UNKNOWN,OBSERVATIONAL
NCT00452283,Changes in Eye Pressure and Anterior Chamber Depth With Oral Endothelin Antagonist Therapy,https://clinicaltrials.gov/study/NCT00452283,COMPLETED,OBSERVATIONAL
NCT03896633,Therapeutic Equivalence Study of Generic Brinzolamide vs Azopt,https://clinicaltrials.gov/study/NCT03896633,COMPLETED,INTERVENTIONAL
NCT03273907,Post Approval Study of the CyPass System,https://clinicaltrials.gov/study/NCT03273907,TERMINATED,INTERVENTIONAL
NCT02908633,Safety and Efficacy of Three Variants of Canaloplasty With Phacoemulsification to Treat Glaucoma and Cataract,https://clinicaltrials.gov/study/NCT02908633,UNKNOWN,INTERVENTIONAL
NCT00626067,Study of Patient Use and Perception of the Travatan Dosing Aid,https://clinicaltrials.gov/study/NCT00626067,COMPLETED,INTERVENTIONAL
NCT00990743,Tolerance and Effect on Intraocular Pressure After Administration of SYL040012,https://clinicaltrials.gov/study/NCT00990743,COMPLETED,INTERVENTIONAL
NCT02990143,The Effectiveness of Ologen® Collagen Matrix in Preventing Intraocular Pressure (IOP) Spikes After Ahmed Glaucoma Valve Surgery (AGV-FP7),https://clinicaltrials.gov/study/NCT02990143,TERMINATED,INTERVENTIONAL
NCT04742283,Multicenter Study Assessing the Efficacy and Safety of DE-126 Ophthalmic Solution 0.002% Compared With Timolol Maleate Ophthalmic Solution 0.5% in Subjects With Primary Open Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT04742283,COMPLETED,INTERVENTIONAL
NCT00661583,Use of Ranibizumab With Mitomycin C During Trabeculectomy,https://clinicaltrials.gov/study/NCT00661583,COMPLETED,INTERVENTIONAL
NCT05857267,Dorzolamide+Timolol Multidose Preservative-free vs Dorzolamida+Timolol BAK Preserved Efficacy and Safety,https://clinicaltrials.gov/study/NCT05857267,RECRUITING,INTERVENTIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03469297,Early Feasibility Study of the Brown Glaucoma Implant in Patients With Severe Visual Impairment or No Light Perceived,https://clinicaltrials.gov/study/NCT03469297,COMPLETED,INTERVENTIONAL
NCT01338467,Glaucoma Treatment by Circular Cyclocoagulation Using High Intensity Focused Ultrasound With the EYEOP Medical Device,https://clinicaltrials.gov/study/NCT01338467,COMPLETED,INTERVENTIONAL
NCT01162356,Prospective Retinal and Optic Nerve Vitrectomy Evaluation (PROVE) Study,https://clinicaltrials.gov/study/NCT01162356,COMPLETED,OBSERVATIONAL
NCT00221897,Diagnostic Innovations in Glaucoma Study,https://clinicaltrials.gov/study/NCT00221897,UNKNOWN,OBSERVATIONAL
NCT04830397,Study to Evaluate QLS-101 Compared to Timolol Maleate Eye Drops in Subjects With High Eye Pressure (Glaucoma or Ocular Hypertension).,https://clinicaltrials.gov/study/NCT04830397,COMPLETED,INTERVENTIONAL
NCT04485897,Self-monitoring of the Intraocular Pressure Versus Hospital-based Diurnal Monitoring,https://clinicaltrials.gov/study/NCT04485897,RECRUITING,INTERVENTIONAL
NCT05469867,Pivotal Trial for a Synthetic Tissue Substitute for Concealment of Artificial Ocular Implants,https://clinicaltrials.gov/study/NCT05469867,ACTIVE_NOT_RECRUITING,INTERVENTIONAL
NCT00410267,Trial Comparing Ketorolac Tromethamine 0.4% & Prednisolone Acetate 1% in Reducing Post-SLT Anterior Chamber Flare & Cells,https://clinicaltrials.gov/study/NCT00410267,TERMINATED,OBSERVATIONAL
NCT04422743,Effect of Citicoline/Homotaurine on PERG in Primary Open Angle Glaucoma,https://clinicaltrials.gov/study/NCT04422743,TERMINATED,INTERVENTIONAL
NCT06143943,Anterior Segment Anatomic Parameters for Risk Profiling of Primary Angle-closure Glaucoma,https://clinicaltrials.gov/study/NCT06143943,COMPLETED,OBSERVATIONAL
NCT00672997,A Phase III Study of Travoprost/Timolol Combination in Patients With Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00672997,COMPLETED,INTERVENTIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT03160690,Changes in Choroidal Thickness After Non Penetrating Deep Sclerectomy,https://clinicaltrials.gov/study/NCT03160690,UNKNOWN,OBSERVATIONAL
NCT01266343,Comparison of Anterior Chamber Paracentesis and Conventional Mannitol Infusion in Patients With Primary Acute Angle-closure Glaucoma,https://clinicaltrials.gov/study/NCT01266343,COMPLETED,OBSERVATIONAL
NCT02490267,Quality of Life in Children Glaucoma and Cataract,https://clinicaltrials.gov/study/NCT02490267,COMPLETED,OBSERVATIONAL
NCT01446497,Efficacy and Safety Study of Combigan and 0.5% Timoptic in Normal Tension Glaucoma,https://clinicaltrials.gov/study/NCT01446497,UNKNOWN,INTERVENTIONAL
NCT00312403,Polymorphisms in the Human Matrix Metalloproteinase Genes MMP1 MMP3 and MMP9: Genetic Risk Factors of Primary Open Angle Glaucoma?,https://clinicaltrials.gov/study/NCT00312403,COMPLETED,INTERVENTIONAL
NCT02792803,A Comparison of Xalatan (Latanoprost) to Apo-latanoprost and Co-latanoprost in the Treatment of Glaucoma,https://clinicaltrials.gov/study/NCT02792803,UNKNOWN,INTERVENTIONAL
NCT00803803,Dose Effects and Characteristics of Pilocarpine,https://clinicaltrials.gov/study/NCT00803803,COMPLETED,INTERVENTIONAL
NCT01640756,AqueSys Microfistula Implant in Refractory Glaucoma,https://clinicaltrials.gov/study/NCT01640756,COMPLETED,INTERVENTIONAL
NCT00665756,Comparison of Efficacy Between Silicone Ahmed Glaucoma Valves and Second Trabeculectomy in Glaucoma Patients,https://clinicaltrials.gov/study/NCT00665756,UNKNOWN,INTERVENTIONAL
NCT05011747,Viscotrabeculotomy in Pediatric Glaucoma Following Cataract Surgery,https://clinicaltrials.gov/study/NCT05011747,NOT_YET_RECRUITING,INTERVENTIONAL
NCT05340647,NorMIGS - a Study of Micro-invasive Glaucoma Surgery,https://clinicaltrials.gov/study/NCT05340647,RECRUITING,OBSERVATIONAL
NCT03159247,The eyeGuide: Improving Glaucoma Self-management With a Personalized Behavior Change Program,https://clinicaltrials.gov/study/NCT03159247,COMPLETED,INTERVENTIONAL
NCT03159247,The eyeGuide: Improving Glaucoma Self-management With a Personalized Behavior Change Program,https://clinicaltrials.gov/study/NCT03159247,COMPLETED,INTERVENTIONAL
NCT03159247,The eyeGuide: Improving Glaucoma Self-management With a Personalized Behavior Change Program,https://clinicaltrials.gov/study/NCT03159247,COMPLETED,INTERVENTIONAL
NCT03515187,Study on Prevention and Treatment of Dry Eye in Patients Using Glaucoma Drops,https://clinicaltrials.gov/study/NCT03515187,UNKNOWN,INTERVENTIONAL
NCT03255785,Open-Angle Glaucoma Subjects With Cataract Treated With Cataract Surgery Plus One iStent and One iStent Supra,https://clinicaltrials.gov/study/NCT03255785,COMPLETED,INTERVENTIONAL
NCT04624685,iStent Inject Trabecular Micro-Bypass System Continuation Post-Approval Study,https://clinicaltrials.gov/study/NCT04624685,UNKNOWN,OBSERVATIONAL
NCT05130385,High Resolution Optical Coherence Tomography,https://clinicaltrials.gov/study/NCT05130385,RECRUITING,OBSERVATIONAL
NCT05131087,A First-In-Human Clinical Trial to Evaluate the Safety Effectiveness and Surgical Characteristics of CADENCE in Patients With Refractory Glaucoma,https://clinicaltrials.gov/study/NCT05131087,COMPLETED,INTERVENTIONAL
NCT04911387,iCare® Home vs Goldmann Applanation Tonometry,https://clinicaltrials.gov/study/NCT04911387,COMPLETED,OBSERVATIONAL
NCT01123785,A Dose-Escalation Study Designed to Evaluate the Tolerability Safety Pharmacokinetics (PK) and Efficacy of Chronic Topical Ocular Application of INO-8875 in Adults With Ocular Hypertension or Primary Open-Angle Glaucoma,https://clinicaltrials.gov/study/NCT01123785,COMPLETED,INTERVENTIONAL
NCT02507687,Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02507687,COMPLETED,INTERVENTIONAL
NCT05685485,Tied Tube Trial in Glaucoma Surgery,https://clinicaltrials.gov/study/NCT05685485,RECRUITING,OBSERVATIONAL
NCT05685485,Tied Tube Trial in Glaucoma Surgery,https://clinicaltrials.gov/study/NCT05685485,RECRUITING,OBSERVATIONAL
NCT00477685,Ologen (OculusGen)-Phacotrabeculectomy Historical Control Study in India,https://clinicaltrials.gov/study/NCT00477685,COMPLETED,OBSERVATIONAL
NCT00626847,How Does Your Genetic Make-up (Profile) Influence Your Glaucoma?,https://clinicaltrials.gov/study/NCT00626847,COMPLETED,OBSERVATIONAL
NCT05370287,Adaptive Optics Retinal Imaging,https://clinicaltrials.gov/study/NCT05370287,RECRUITING,INTERVENTIONAL
NCT01853085,A Study of Patients With Primary Open Angle Glaucoma or Ocular Hypertension Switched to Lumigan® UD Monotherapy for Medical Reasons,https://clinicaltrials.gov/study/NCT01853085,COMPLETED,OBSERVATIONAL
NCT04910100,Nebivolol 0.5 1.0 or Timolol 0.5 Suspension Compared to Timolol 0.5 Solution to Treat Glaucoma/Ocular Hypertension,https://clinicaltrials.gov/study/NCT04910100,COMPLETED,INTERVENTIONAL
NCT04910100,Nebivolol 0.5 1.0 or Timolol 0.5 Suspension Compared to Timolol 0.5 Solution to Treat Glaucoma/Ocular Hypertension,https://clinicaltrials.gov/study/NCT04910100,COMPLETED,INTERVENTIONAL
NCT04743622,Comparison of Efficacy and Ocular Surface Disease Assessment Between Monoprost and BAK-preserved Latanoprost,https://clinicaltrials.gov/study/NCT04743622,COMPLETED,INTERVENTIONAL
NCT04646122,Predicting Glaucoma Progression With Optical Coherence Tomography Structural and Angiographic Parameters.,https://clinicaltrials.gov/study/NCT04646122,UNKNOWN,OBSERVATIONAL
NCT04430647,Phaco-UCP Versus Phaco Alone for OAG and Cataract,https://clinicaltrials.gov/study/NCT04430647,COMPLETED,INTERVENTIONAL
NCT02178085,Ocular Blood Flow Assessment in Glaucoma,https://clinicaltrials.gov/study/NCT02178085,UNKNOWN,INTERVENTIONAL
NCT03611387,Artificial Intelligence Screening on Patients With Primary Angle Closure Glaucoma,https://clinicaltrials.gov/study/NCT03611387,UNKNOWN,OBSERVATIONAL
NCT00803387,Dry Eye and Irritation Comparison of Latanoprost With the Preservative Versus Travoprost Without Preservative,https://clinicaltrials.gov/study/NCT00803387,COMPLETED,OBSERVATIONAL
NCT01273285,Reproducibility of Nerve Fiber Layer Thickness Measurements in Patients With Glaucoma and Healthy Controls Using Spectral-Domain and Time-Domain OCT,https://clinicaltrials.gov/study/NCT01273285,TERMINATED,INTERVENTIONAL
NCT00121147,Additivity Study: Additive Effect on Eye Pressure of Azopt and Alphagan P to Travatan,https://clinicaltrials.gov/study/NCT00121147,COMPLETED,INTERVENTIONAL
NCT04750447,Safety and Efficacy of an Ab Interno Gelatin Stent (XEN63) With or Without Mitomycin C,https://clinicaltrials.gov/study/NCT04750447,RECRUITING,OBSERVATIONAL
NCT01027247,OculusGen™ Collagen Matrix Implant for Phaco-Trabeculectomy in Primary Glaucoma: a Case-Control Study,https://clinicaltrials.gov/study/NCT01027247,COMPLETED,INTERVENTIONAL
NCT03944447,Outcomes Mandate National Integration With Cannabis as Medicine,https://clinicaltrials.gov/study/NCT03944447,RECRUITING,INTERVENTIONAL
NCT01908985,Ocular Fluorophotometry for Glaucoma Treated With Cyclo-coagulation Using High Intensity Focused Ultrasound (HIFU).,https://clinicaltrials.gov/study/NCT01908985,NO_LONGER_AVAILABLE,EXPANDED_ACCESS
NCT02105285,Efficacy and Safety Study of OPC-1085EL Ophthalmic Solution in Subjects With Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02105285,COMPLETED,INTERVENTIONAL
NCT01930487,The Effects of an Antioxidant Formulation on Ocular Blood Flow,https://clinicaltrials.gov/study/NCT01930487,COMPLETED,INTERVENTIONAL
NCT01298687,Divided Dose of TRAVATAN®,https://clinicaltrials.gov/study/NCT01298687,COMPLETED,INTERVENTIONAL
NCT03657147,Improving African American Glaucoma Patient Involvement in Visits and Outcomes,https://clinicaltrials.gov/study/NCT03657147,COMPLETED,INTERVENTIONAL
NCT00706056,A New View of Normal Tension Glaucoma: Autoregulation and Systemic Blood Pressure,https://clinicaltrials.gov/study/NCT00706056,COMPLETED,OBSERVATIONAL
NCT05455567,OCTA Study of Choroidal Vasculature in Open Angle Glaucoma Patients,https://clinicaltrials.gov/study/NCT05455567,COMPLETED,OBSERVATIONAL
NCT04468633,The Baerveldt Versus ClearPath Comparison Study,https://clinicaltrials.gov/study/NCT04468633,COMPLETED,INTERVENTIONAL
NCT03505567,Study to Compare Kowa OCT Bi-μ and the Optovue iVue 100,https://clinicaltrials.gov/study/NCT03505567,COMPLETED,INTERVENTIONAL
NCT03759483,Diagnostic Efficacy of CNN in Differentiation of Visual Field,https://clinicaltrials.gov/study/NCT03759483,COMPLETED,OBSERVATIONAL
NCT01051583,Avastin as an Adjunct to Diode Laser in the Treatment of Neovascular Glaucoma,https://clinicaltrials.gov/study/NCT01051583,COMPLETED,INTERVENTIONAL
NCT01051583,Avastin as an Adjunct to Diode Laser in the Treatment of Neovascular Glaucoma,https://clinicaltrials.gov/study/NCT01051583,COMPLETED,INTERVENTIONAL
NCT01799707,Vision Restoration Training in Glaucoma,https://clinicaltrials.gov/study/NCT01799707,COMPLETED,INTERVENTIONAL
NCT01917383,A Phase II Study to Evaluate the Additivity of Trabodenoson to Latanoprost in Adults With Ocular Hypertension or Primary Open-Angle Glaucoma,https://clinicaltrials.gov/study/NCT01917383,COMPLETED,INTERVENTIONAL
NCT02512133,MIGS VS SLT Comparison in Glaucoma Patients,https://clinicaltrials.gov/study/NCT02512133,UNKNOWN,INTERVENTIONAL
NCT02049333,Cataract Surgery vs Cataract Surgery With ECPL for Treatment of Plateau Iris Configuration or Syndrome,https://clinicaltrials.gov/study/NCT02049333,COMPLETED,INTERVENTIONAL
NCT01299233,Reproducibility of RNFL Circle Scans With ART-Function of Heidelberg Spectralis SD-OCT Software Version 5.3,https://clinicaltrials.gov/study/NCT01299233,UNKNOWN,OBSERVATIONAL
NCT01563237,Safety and Performance of Miami InnFocus Drainage Implant (MIDI Arrow) Glaucoma Drainage Implant,https://clinicaltrials.gov/study/NCT01563237,COMPLETED,INTERVENTIONAL
NCT01923714,Impact of a Tolerability Switch to Dorzolamide/Timolol Preservative-free Fixed Combination on Ocular Surface Symptoms,https://clinicaltrials.gov/study/NCT01923714,COMPLETED,OBSERVATIONAL
NCT01814514,Safety Study of Aqueous Suppression After Ahmed Glaucoma Valve (AGV) Implantation,https://clinicaltrials.gov/study/NCT01814514,UNKNOWN,INTERVENTIONAL
NCT01076114,Comparison of Critical Flicker Fusion Versus Automated Visual Fields in the Detection of Early Glaucoma,https://clinicaltrials.gov/study/NCT01076114,COMPLETED,OBSERVATIONAL
NCT02967614,KJ-TFC-004 Drug-drug Interaction Study,https://clinicaltrials.gov/study/NCT02967614,COMPLETED,INTERVENTIONAL
NCT01975714,Intraocular Pressure and Tolerability Study of Preservative-free Prostaglandins (Bimatoprost and Latanoprost) on Glaucoma and Ocular Hypertension: European Multicentric Investigator-led Single Masked Study,https://clinicaltrials.gov/study/NCT01975714,COMPLETED,INTERVENTIONAL
NCT04284514,Study to Evaluate the Safety Tolerability Pharmacokinetics and Pharmacodynamics of AKB-9778 Ophthalmic Solution,https://clinicaltrials.gov/study/NCT04284514,COMPLETED,INTERVENTIONAL
NCT01841437,Glaukos® iStent® Trabecular Micro-Bypass Stent System In Conjunction With Cataract Surgery Postmarket Registry,https://clinicaltrials.gov/study/NCT01841437,COMPLETED,OBSERVATIONAL
NCT00286637,Novel Diagnostics for Ocular Structure,https://clinicaltrials.gov/study/NCT00286637,RECRUITING,OBSERVATIONAL
NCT00666237,Primary Tube Versus Trabeculectomy Study,https://clinicaltrials.gov/study/NCT00666237,COMPLETED,INTERVENTIONAL
NCT00666237,Primary Tube Versus Trabeculectomy Study,https://clinicaltrials.gov/study/NCT00666237,COMPLETED,INTERVENTIONAL
NCT00666237,Primary Tube Versus Trabeculectomy Study,https://clinicaltrials.gov/study/NCT00666237,COMPLETED,INTERVENTIONAL
NCT05030714,Evaluation of a Novel Head-Mounted Device for Glaucoma Testing: A Proof-of-Concept Study,https://clinicaltrials.gov/study/NCT05030714,NOT_YET_RECRUITING,INTERVENTIONAL
NCT01340014,Patient Preference Comparison of AZARGA Versus COSOPT,https://clinicaltrials.gov/study/NCT01340014,COMPLETED,INTERVENTIONAL
NCT00487214,Internet-based Naturalistic Evaluation of Tolerability and Individual Patient Target Pressures With Bimatoprost 0.03% in Glaucoma,https://clinicaltrials.gov/study/NCT00487214,COMPLETED,OBSERVATIONAL
NCT05954637,Correlation of Structure and Function in Glaucoma,https://clinicaltrials.gov/study/NCT05954637,RECRUITING,OBSERVATIONAL
NCT02629237,Satisfaction After Glaucoma Surgery in Rural China,https://clinicaltrials.gov/study/NCT02629237,WITHDRAWN,INTERVENTIONAL
NCT02061683,A Study of Bimatoprost in the Treatment of Primary Open Angle Glaucoma and Ocular Hypertension,https://clinicaltrials.gov/study/NCT02061683,COMPLETED,INTERVENTIONAL
NCT02558400,Double-masked Study of PG324 Ophthalmic Solution in Patients With Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT02558400,COMPLETED,INTERVENTIONAL
NCT05885022,Feasibility Clinical Evaluation of the Calibreye System,https://clinicaltrials.gov/study/NCT05885022,RECRUITING,INTERVENTIONAL
NCT04214847,The Outcome of Ahmed Glaucoma Valve in Difficult Glaucoma Cases,https://clinicaltrials.gov/study/NCT04214847,COMPLETED,INTERVENTIONAL
NCT05523622,Comparison of Intraocular Pressure Measurement With the Novel TonoVera Device With Other Commonly Used Devices,https://clinicaltrials.gov/study/NCT05523622,RECRUITING,INTERVENTIONAL
NCT00981422,Search for Biomarkers in Human Glaucoma: Lymphocytes Alterations and Rate of Progression,https://clinicaltrials.gov/study/NCT00981422,COMPLETED,OBSERVATIONAL
NCT04475900,Computer-aided Diagnosis of Ocular Diseases Based on Corneal Biomechanics,https://clinicaltrials.gov/study/NCT04475900,COMPLETED,OBSERVATIONAL
NCT00708422,Effects of Travatan Z and Xalatan on Ocular Surface Health,https://clinicaltrials.gov/study/NCT00708422,COMPLETED,INTERVENTIONAL
NCT01033422,Safety and Efficacy of Daily CF101 Administered Orally in Subjects With Elevated Intraocular Pressure,https://clinicaltrials.gov/study/NCT01033422,COMPLETED,INTERVENTIONAL
NCT04295122,Comparing the Effectiveness of Phacoemulsification + ECP Laser and Phacoemulsification Alone for Glaucoma Patients,https://clinicaltrials.gov/study/NCT04295122,UNKNOWN,INTERVENTIONAL
NCT04295122,Comparing the Effectiveness of Phacoemulsification + ECP Laser and Phacoemulsification Alone for Glaucoma Patients,https://clinicaltrials.gov/study/NCT04295122,UNKNOWN,INTERVENTIONAL
NCT05205122,Evaluation of Primary Congenital Glaucoma at Asyut University Hospital,https://clinicaltrials.gov/study/NCT05205122,NOT_YET_RECRUITING,INTERVENTIONAL
NCT00406822,OculusGen-Glaucoma Historical Control Study in Taiwan,https://clinicaltrials.gov/study/NCT00406822,TERMINATED,INTERVENTIONAL
NCT00382122,Prevalence of Ocular Surface Disease in Glaucoma Patients,https://clinicaltrials.gov/study/NCT00382122,COMPLETED,OBSERVATIONAL
NCT00362622,Determinants of Compliance With Glaucoma Therapy,https://clinicaltrials.gov/study/NCT00362622,COMPLETED,OBSERVATIONAL
NCT00856622,A Study Demonstrating The Effect Of Latanoprost In Combination With Timolol Latanoprost Alone And Timolol Alone On Eye Pressure In Open Angle Glaucoma Or Ocular Hypertension In Patients,https://clinicaltrials.gov/study/NCT00856622,COMPLETED,INTERVENTIONAL
NCT01766947,IOP Fluctuations in Primary Open Angle Glaucoma Patients Before and After Deep Sclerectomy,https://clinicaltrials.gov/study/NCT01766947,WITHDRAWN,INTERVENTIONAL
NCT00348400,Brimonidine Purite 0.15% Versus Dorzolamide 2% Used as Adjunctive Therapy to Latanoprost,https://clinicaltrials.gov/study/NCT00348400,COMPLETED,INTERVENTIONAL
NCT01491867,Continuous Intraocular Pressure (IOP) Measurement and Ability to Detect Treatment Effect,https://clinicaltrials.gov/study/NCT01491867,COMPLETED,INTERVENTIONAL
NCT01629407,A Study of the Rate of Progression of Glaucoma During a Follow-up Period of Two Years,https://clinicaltrials.gov/study/NCT01629407,COMPLETED,OBSERVATIONAL
NCT04796883,A Study for Assessing the Safety of Hanita Glaucoma Shunt in Glaucoma Patients,https://clinicaltrials.gov/study/NCT04796883,COMPLETED,INTERVENTIONAL
NCT03647033,Phacoemulsification Versus Phacoemulsification With Micro-bypass Stent,https://clinicaltrials.gov/study/NCT03647033,COMPLETED,INTERVENTIONAL
NCT02613533,Water Drinking Test in Patients With Occludable Angle,https://clinicaltrials.gov/study/NCT02613533,COMPLETED,INTERVENTIONAL
NCT01726543,Safety and Efficacy of Canaloplasty and Non-penetrating Deep Sclerectomy With Phacoemulsification to Treat Glaucoma and Cataract,https://clinicaltrials.gov/study/NCT01726543,UNKNOWN,INTERVENTIONAL
NCT00670033,Travoprost New Formulations in Patients With Open-Angle Glaucoma or Ocular Hypertension,https://clinicaltrials.gov/study/NCT00670033,COMPLETED,INTERVENTIONAL
NCT05220007,Effect of Presbyopic Correction Lens on Humphrey Visual Field Testing in Patients With Multifocal Intraocular Lens,https://clinicaltrials.gov/study/NCT05220007,COMPLETED,INTERVENTIONAL
NCT04781283,Study Comparing the Kinetics of Endothelial Cell Loss Associated With the XEN® Implant Versus Traditional Filtering Surgery for Glaucoma,https://clinicaltrials.gov/study/NCT04781283,WITHDRAWN,INTERVENTIONAL
NCT04014933,Reproducibility of Blood Flowmetry in Human Retina Using the Nidek Laser Speckle Flowgraphy LSFG-NAVI System,https://clinicaltrials.gov/study/NCT04014933,COMPLETED,OBSERVATIONAL
